,code,lot_size,stock_name,stock_type,stock_id
0,HK.00001,500,长和,STOCK,4440996184065
1,HK.00002,500,中电控股,STOCK,2
2,HK.00003,1000,香港中华煤气,STOCK,3
3,HK.00004,1000,九龙仓集团,STOCK,4
4,HK.00005,400,汇丰控股,STOCK,5
5,HK.00006,500,电能实业,STOCK,6
6,HK.00007,2000,香港金融集团,STOCK,48133698486279
7,HK.00008,1000,电讯盈科,STOCK,38890928865288
8,HK.00009,6000,九号运通,STOCK,49718541418505
9,HK.00010,1000,恒隆集团,STOCK,4355096838154
10,HK.00011,100,恒生银行,STOCK,3865470566411
11,HK.00012,1000,恒基地产,STOCK,18124761989132
12,HK.00014,1000,希慎兴业,STOCK,18369575125006
13,HK.00015,2000,盈信控股,STOCK,48133698486287
14,HK.00016,500,新鸿基地产,STOCK,4209067950096
15,HK.00017,1000,新世界发展,STOCK,4535485464593
16,HK.00018,2000,东方报业集团,STOCK,27646704484370
17,HK.00019,500,太古股份公司A,STOCK,19
18,HK.00020,1000,会德丰,STOCK,20
19,HK.00021,5000,大中华地产控股,STOCK,21
20,HK.00022,40000,茂盛控股,STOCK,4625679777814
21,HK.00023,200,东亚银行,STOCK,23
22,HK.00024,2000,宝威控股,STOCK,21492016349208
23,HK.00025,2000,其士国际,STOCK,23411866730521
24,HK.00026,200,中华汽车,STOCK,26
25,HK.00027,1000,银河娱乐,STOCK,34136400068635
26,HK.00028,1000,天安,STOCK,26989574488092
27,HK.00029,2000,达力集团,STOCK,29
28,HK.00030,2000,万隆控股集团,STOCK,34144990003230
29,HK.00031,2000,航天控股,STOCK,18266495909919
30,HK.00032,1000,港通控股,STOCK,7172595384352
31,HK.00033,6000,云铜股份,STOCK,59420872540193
32,HK.00034,1000,九龙建业,STOCK,40003325394978
33,HK.00035,1000,远东发展,STOCK,4264902524963
34,HK.00036,3000,远东控股国际,STOCK,4883377815588
35,HK.00037,2000,远东酒店实业,STOCK,14899241549861
36,HK.00038,2000,第一拖拉机股份,STOCK,43095701848102
37,HK.00039,8000,中国北大荒,STOCK,48692044234791
38,HK.00040,1000,金山工业,STOCK,22741851832360
39,HK.00041,1000,鹰君,STOCK,41
40,HK.00042,2000,东北电气,STOCK,40011915329578
41,HK.00043,2000,卜蜂国际,STOCK,28737626177579
42,HK.00045,500,大酒店,STOCK,45
43,HK.00046,2000,科联系统,STOCK,44508746088494
44,HK.00047,4000,合兴集团,STOCK,60116657242159
45,HK.00048,10000,中国汽车内饰,STOCK,63909113364528
46,HK.00050,1000,香港小轮(集团),STOCK,50
47,HK.00051,1000,海港企业,STOCK,51
48,HK.00052,500,大快活,STOCK,34144990003252
49,HK.00053,1000,国浩集团,STOCK,20912195764277
50,HK.00055,10000,中星集团控股,STOCK,35592393982007
51,HK.00056,2000,联合地产(香港),STOCK,56
52,HK.00057,2000,震雄集团,STOCK,34200824578105
53,HK.00058,20000,新威国际,STOCK,46540265619514
54,HK.00059,2000,天誉置业,STOCK,37447819853883
55,HK.00060,2000,香港食品投资,STOCK,36009005809724
56,HK.00061,10000,绿领控股,STOCK,46286862549053
57,HK.00062,400,载通,STOCK,62
58,HK.00063,1000,中国烯谷集团,STOCK,25336012079167
59,HK.00064,2000,结好控股,STOCK,50865297686592
60,HK.00065,4000,弘海高新资源,STOCK,49662706843713
61,HK.00066,500,港铁公司,STOCK,48249662603330
62,HK.00067,2000,旭光高新材料,STOCK,61890478735427
63,HK.00068,1000,利兴发展,STOCK,4475355922500
64,HK.00069,2000,香格里拉(亚洲),STOCK,36794984824901
65,HK.00070,10000,金粤控股,STOCK,70
66,HK.00071,1000,美丽华酒店,STOCK,71
67,HK.00072,2000,现代传播,STOCK,62255550955592
68,HK.00073,1000,亚洲果业,STOCK,62590558404681
69,HK.00075,2000,渝太地产,STOCK,23313082482763
70,HK.00076,4000,南海石油,STOCK,23102629085260
71,HK.00077,2000,进智公共交通,STOCK,53781580480589
72,HK.00078,2000,富豪酒店,STOCK,78
73,HK.00079,4000,世纪建业,STOCK,36885179138127
74,HK.00080,20000,中国新经济投资,STOCK,64334315126864
75,HK.00081,1000,中国海外宏洋集团,STOCK,22454089023569
76,HK.00082,2000,第一视频,STOCK,34213709480018
77,HK.00083,2000,信和置业,STOCK,17669495455827
78,HK.00084,1000,宝光实业,STOCK,4312147165268
79,HK.00085,2000,中电华大科技,STOCK,43233140801621
80,HK.00086,1000,新鸿基公司,STOCK,21569325760598
81,HK.00087,2500,太古股份公司B,STOCK,5218385264727
82,HK.00088,1000,大昌集团,STOCK,4612794875992
83,HK.00089,1000,大生地产,STOCK,4922032521305
84,HK.00090,2000,普星洁能,STOCK,61993557950554
85,HK.00091,10000,标准资源控股,STOCK,18021682774107
86,HK.00092,6000,冠军科技集团,STOCK,35497904701532
87,HK.00093,2000,添利工业,STOCK,34205119545437
88,HK.00094,2000,绿心集团,STOCK,28969554411614
89,HK.00095,2000,绿景中国地产,STOCK,56341380989023
90,HK.00096,2000,友成控股,STOCK,56126632624224
91,HK.00097,1000,恒基发展,STOCK,4462471020641
92,HK.00098,1000,兴发铝业,STOCK,59992103190626
93,HK.00099,1000,王氏国际,STOCK,21882858373219
94,HK.00100,1000,白马户外媒体,STOCK,50139448213604
95,HK.00101,1000,恒隆地产,STOCK,101
96,HK.00102,2000,凯升控股,STOCK,37684043055206
97,HK.00103,2000,首长宝佳,STOCK,34930969018471
98,HK.00104,5000,冠亚商业,STOCK,27560805138536
99,HK.00105,2000,凯联国际酒店,STOCK,24799141167209
100,HK.00106,4000,朗诗绿色集团,STOCK,25447681228906
101,HK.00107,2000,四川成渝高速公路,STOCK,43550968381547
102,HK.00108,2000,国锐地产,STOCK,4870492913772
103,HK.00109,10000,天成国际,STOCK,43967580209261
104,HK.00110,2000,中国长远,STOCK,53437983096942
105,HK.00111,2000,信达国际控股,STOCK,47970489729135
106,HK.00112,2000,勒泰集团,STOCK,4591320039536
107,HK.00113,500,迪生创建,STOCK,5016521801841
108,HK.00114,5000,兴利集团,STOCK,114
109,HK.00115,10000,钧濠集团,STOCK,115
110,HK.00116,1000,周生生,STOCK,5111011082356
111,HK.00117,2000,天利控股集团,STOCK,59558311493749
112,HK.00118,2000,大同机械,STOCK,29716878721142
113,HK.00119,1000,保利置业集团,STOCK,5738076307575
114,HK.00120,2000,四海国际,STOCK,120
115,HK.00121,10000,卜蜂莲花,STOCK,17617955848313
116,HK.00122,1000,鳄鱼恤,STOCK,122
117,HK.00123,2000,越秀地产,STOCK,36004710842491
118,HK.00124,2000,粤海置地,STOCK,43293270343804
119,HK.00125,2000,新兴光学,STOCK,46106473922685
120,HK.00126,2000,佳宁娜,STOCK,34243774251134
121,HK.00127,500,华人置业,STOCK,127
122,HK.00128,4000,安宁控股,STOCK,128
123,HK.00129,2000,泛海集团,STOCK,4801773437057
124,HK.00130,2000,慕诗国际,STOCK,50371376447618
125,HK.00131,1000,卓能(集团),STOCK,131
126,HK.00132,1000,中国兴业控股,STOCK,5291399708804
127,HK.00133,2000,招商局中国基金,STOCK,36945308680325
128,HK.00135,2000,昆仑能源,STOCK,5007931867271
129,HK.00136,4000,恒腾网络,STOCK,43499428774024
130,HK.00137,1000,金辉集团,STOCK,34394098106505
131,HK.00138,2000,中建富通,STOCK,34286723924106
132,HK.00139,14000,中达集团控股,STOCK,37958920962187
133,HK.00141,2000,天禧海嘉控股,STOCK,4982162063501
134,HK.00142,2000,第一太平,STOCK,29326036697230
135,HK.00143,2000,国安国际,STOCK,45908905427087
136,HK.00144,2000,招商局港口,STOCK,35347580846224
137,HK.00145,8000,香港建屋贷款,STOCK,3912715206801
138,HK.00146,1000,太平地毡,STOCK,146
139,HK.00147,5000,国际商业结算,STOCK,28905129902227
140,HK.00148,500,建滔集团,STOCK,37280316129428
141,HK.00149,5000,中国农产品交易,STOCK,5003636899989
142,HK.00150,5000,HYPEBEAST,STOCK,77141907603606
143,HK.00151,1000,中国旺旺,STOCK,59970628354199
144,HK.00152,500,深圳国际,STOCK,4282082394264
145,HK.00153,2000,中国赛特,STOCK,68758131441817
146,HK.00154,1000,北京控股环境集团,STOCK,154
147,HK.00155,10000,中国源畅,STOCK,29295971926171
148,HK.00156,10000,力宝华润,STOCK,156
149,HK.00157,10000,自然美,STOCK,50564649975965
150,HK.00158,500,万邦投资,STOCK,4166118277278
151,HK.00159,4000,布莱克万矿业,STOCK,51316269252767
152,HK.00160,2000,汉国置业,STOCK,160
153,HK.00161,2000,中航国际控股,STOCK,43516608643233
154,HK.00162,2000,世纪金花,STOCK,48326972014754
155,HK.00163,2000,英皇国际,STOCK,4496830759075
156,HK.00164,5000,中国宝力科技,STOCK,4810363371684
157,HK.00165,2000,中国光大控股,STOCK,4943507357861
158,HK.00166,2000,新时代能源,STOCK,45144401248422
159,HK.00167,2000,万威国际,STOCK,29493540421799
160,HK.00168,2000,青岛啤酒股份,STOCK,36915243909288
161,HK.00169,1000,万达酒店发展,STOCK,50856707752105
162,HK.00171,2000,银建国际,STOCK,171
163,HK.00172,10000,金榜集团,STOCK,172
164,HK.00173,1000,嘉华国际,STOCK,26817775796397
165,HK.00174,2000,盛洋投资,STOCK,29424820945070
166,HK.00175,1000,吉利汽车,STOCK,4930622455983
167,HK.00176,2000,先机企业集团,STOCK,38147899523248
168,HK.00177,2000,江苏宁沪高速公路,STOCK,43112881717425
169,HK.00178,2000,莎莎国际,STOCK,43052752175282
170,HK.00179,500,德昌电机控股,STOCK,22780506538163
171,HK.00180,2000,开达集团,STOCK,24142011170996
172,HK.00181,20000,闽港控股,STOCK,4926327488693
173,HK.00182,10000,协合新能源,STOCK,34355443400886
174,HK.00183,8000,宏辉集团,STOCK,50796578209975
175,HK.00184,2000,激成投资,STOCK,4934917423288
